"","team_name","week","season","game_id","pass_grade","opponent","qbgrp_ssn","rank","num_games","half_mark","performance"
"264","ATL",10,2019,13903,61.3,"NO","ATLRyan-2019",11,15,8,"Bad"
"265","ATL",13,2019,13940,60.5,"NO","ATLRyan-2019",12,15,8,"Bad"
"266","ATL",7,2019,13855,58.83,"LA","ATLRyan-2019",13,15,8,"Bad"
"267","ATL",2,2019,13792,55.9,"PHI","ATLRyan-2019",14,15,8,"Bad"
"268","ATL",12,2019,13925,49.5537313432836,"TB","ATLRyan-2019",15,15,8,"Bad"
"269","ATL",7,2020,18625,86.8,"DET","ATLRyan-2020",1,16,8,"Good"
"270","ATL",6,2020,18614,86.7,"MIN","ATLRyan-2020",2,16,8,"Good"
"271","ATL",13,2020,18710,84.7,"NO","ATLRyan-2020",3,16,8,"Good"
"272","ATL",1,2020,18533,81.8,"SEA","ATLRyan-2020",4,16,8,"Good"
"273","ATL",9,2020,18653,80.8,"DEN","ATLRyan-2020",5,16,8,"Good"
"274","ATL",15,2020,18746,80.4,"TB","ATLRyan-2020",6,16,8,"Good"
"275","ATL",2,2020,18550,75.7855421686747,"DAL","ATLRyan-2020",7,16,8,"Good"
"276","ATL",14,2020,18735,70.5402985074627,"LAC","ATLRyan-2020",8,16,8,"Good"
"277","ATL",12,2020,18696,70.1,"LV","ATLRyan-2020",9,16,8,"Bad"
"278","ATL",8,2020,18639,68.4,"CAR","ATLRyan-2020",10,16,8,"Bad"
"279","ATL",16,2020,18765,67.1,"KC","ATLRyan-2020",11,16,8,"Bad"
"280","ATL",17,2020,18784,64.6489130434783,"TB","ATLRyan-2020",12,16,8,"Bad"
"281","ATL",3,2020,18565,63.9,"CHI","ATLRyan-2020",13,16,8,"Bad"
"282","ATL",5,2020,18597,58.1,"CAR","ATLRyan-2020",14,16,8,"Bad"
"283","ATL",4,2020,18595,56.7,"GB","ATLRyan-2020",15,16,8,"Bad"
"284","ATL",11,2020,18687,55.4,"NO","ATLRyan-2020",16,16,8,"Bad"
"285","ATL",4,2021,19657,89.8,"WAS","ATLRyan-2021",1,17,9,"Good"
